Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM
9,1,0,3,27,0,0,9,3,0.7188,567,0.5,0,0,0.4815,0,0,61.5556,5,20,1,22.22222222
20,1,0,3,69,88,0,17,3,0.8543,3238,1,0,0,0.3083,0,0,160.25,7.6,129,1,5
9,1,0,9,61,34,0,8,9,0.875,1871,1,0,0,0.3519,0,0,206.7778,10.22222222,40,1,44.44444444
8,1,0,9,51,26,0,7,9,0.8571,1655,1,0,0,0.475,0,0,205.75,7.375,17,1,37.5
5,1,0,10,44,10,0,5,10,2,460,0,0,0,0.3667,0,0,91,5.6,16,1,20
4,1,0,30,112,4,0,3,30,0.6667,869,1,0,0,0.6667,0,0,215.75,10.25,37,1,25
9,0,0,11,64,36,0,9,11,2,4677,0,0,0,0.6296,0,0,518.6667,33.55555556,72,1,66.66666667
6,0,0,6,43,15,0,6,6,2,415,0,0,0,0.6111,0,0,68.1667,5.5,10,1,0
3,6,0,3,54,0,0,3,3,0.75,403,1,0,0.9972,0.4667,0,0,130,5.333333333,13,1,33.33333333
9,1,0,6,55,24,0,9,6,0.8281,960,0,0,0,0.4,0,0,104.7778,5.666666667,21,1,11.11111111
5,1,0,8,66,0,0,4,8,0.7083,730,0.5,0,0,0.5,0,0,143.8,6.6,17,1,20
6,5,0,7,71,0,0,4,7,0.6625,816,0.125,0,0.9942,0.4667,0,0,132.3333,5.5,11,1,33.33333333
