depthOfInheritanceTree,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Efferent Couplings,Lack of Cohesion in Methods 3,Data Access Metric,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC
2,6,43,4,0,6,0.8545,1,0.3636,1,1,18.0833,1.916666667,4,1
1,28,85,110,0,28,0.7789,1,0.2018,0,0,31.2,1.9,5,1
5,3,26,0,0,3,0.7778,0.0833,1,0,0,156.75,1,1,1
1,2,13,2,0,2,0.625,0.75,0.625,0,0,17,1.4,2,1
3,2,34,0,0,2,0.9792,0.3333,0.3148,2,6,25,2.444444444,5,1
1,16,14,10,0,16,2,0,0.375,0,0,16.6,1.8,2,1
2,3,9,0,0,3,0,1,0.6667,0,0,12,1.666666667,2,1
1,3,14,0,0,3,0,1,0.625,0,0,15.75,2.5,5,1
6,8,63,491,0,8,0.9059,1,0.1253,5,11,5.8857,1.142857143,2,1
1,6,89,0,0,6,0,1,0.1081,0,0,4.8889,1,1,1
1,14,71,1082,0,14,0.9375,1,0.085,0,0,3.8776,1,1,1
1,5,67,0,0,5,0,1,0.1297,0,0,4.9714,1,1,1
5,11,59,322,0,11,0.9401,1,0.1953,3,9,5.8438,1.15625,2,1
6,20,54,112,0,20,0.9067,1,0.1563,5,11,15.4375,1.8125,5,1
0,3,12,1,0,3,1,1,0.4167,0,0,11.3333,1.333333333,2,1
1,2,4,0,0,2,0,1,0.75,0,0,5,1,1,1
0,5,14,3,0,5,0.2,1,0.5417,0,0,8.6667,1.5,4,1
0,14,36,17,0,14,0.675,1,0.3333,0,0,13.5455,1.454545455,4,1
1,11,83,1282,0,11,0.8949,1,0.0836,0,0,5.375,1.071428571,2,1
1,6,81,0,0,6,0,1,0.1095,0,0,4.881,1,1,1
1,5,24,5,0,5,0.3333,1,0.5,0,0,14.8571,1,1,1
6,3,18,0,0,3,0.5,0.25,1,0,0,63.6667,1,1,1
1,11,61,107,0,11,0.8389,1,0.2037,0,0,18.2105,1.315789474,3,1
1,2,9,28,0,2,2,0,0.9375,0,0,1.25,1,1,1
1,4,6,0,0,4,0.8,1,0.3714,0,0,7.8,1,1,1
1,2,27,0,0,2,0,1,0.6429,0,0,17.6429,1.5,2,1
1,0,2,0,0,0,2,0,1,0,0,3,1,1,1
5,7,31,14,0,7,0.8,1,0.35,0,0,16.1111,1.222222222,3,1
0,4,25,34,0,4,0.875,1,0.3056,0,0,9.8889,1,1,1
5,5,43,12,0,5,0.6984,1,0.3143,0,0,37.375,1.5,3,1
1,6,37,36,0,6,0.7917,1,0.1966,0,0,12.4615,1.461538462,3,1
1,0,2,0,0,0,2,1,1,0,0,6,1,1,1
5,0,9,3,0,0,2,0,1,2,3,8.6667,1,1,1
1,6,12,15,0,6,0.6667,1,0.619,0,0,3.4286,1,1,1
4,37,173,518,0,37,0.8553,1,0.0898,0,0,24.65,1.95,10,1
1,5,11,0,0,5,0.5,1,0.375,0,0,11.25,1.75,2,1
6,1,41,22,0,1,0.6667,1,0.3542,2,5,18,1.444444444,3,1
1,6,39,56,0,6,0.7895,1,0.175,0,0,15.2,1.45,5,1
1,1,3,0,0,1,0.5,1,0.6667,0,0,6,1,1,1
5,2,8,0,0,2,0,1,0.75,0,0,11,1,1,1
1,10,47,8,0,10,0.75,1,0.4,0,0,30.8,1.8,4,1
6,1,26,1,0,1,2,1,0.5,0,0,47,1,1,1
2,7,43,0,0,7,0.619,1,0.3429,0,0,36.375,1.75,5,1
3,2,17,52,0,2,0.8831,1,1,1,12,7.1667,1,1,1
