NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
0.278817734,0.815763547,0.640394089,0.014778325,0.126108374,0.034482759,0.120197044,3.234482759,2.688669951,0.209852217,0.301477833,0.034482759,0.501477833,0.473891626,0.016748768,0.010837438,1.67,1.65,1.77,1.13,124.75,14.39,70.82,40.24,"1,125","2,493","3,564","5,118",839,"5,483","13,752","4,868","16,245","10,556",973,"1,830",951,"12,491","104,665","12,076","59,419","26,451","29,843","33,763","27,206","32,790","43,024","22,278","20,746","9,225","9,127","9,760","6,242","3,043",29,29,32,19,105,10,0,0.57,"9,225","9,127","9,760","6,242"
0.242587601,0.831985624,0.645103324,0.012578616,0.136567835,0.037735849,0.148247978,3.293800539,2.769991015,0.213836478,0.277628032,0.032345013,0.466307278,0.4393531,0.017070979,0.009883199,1.63,1.61,1.72,1.13,120.26,14.17,68.72,38.06,"1,272","2,706","3,987","5,861",952,"6,235","15,794","5,323","18,500","11,643","1,017","1,968","1,143","14,372","114,492","13,486","65,419","29,712","32,095","36,230","46,699","35,622","46,992","24,860","22,132","10,247","10,136","10,806","7,079","3,234",32,32,33,17,105,10,0,0.55,"10,247","10,136","10,806","7,079"
0.243267504,0.837522442,0.649012567,0.012567325,0.138240575,0.037701975,0.148114901,3.301615799,2.771992819,0.216337522,0.280969479,0.032315978,0.466786355,0.439856373,0.017055655,0.009874327,1.62,1.61,1.71,1.12,120.53,14.2,68.94,38.07,"1,276","2,751","4,044","5,919",956,"6,294","15,925","5,371","18,676","11,713","1,019","1,986","1,149","14,522","115,227","13,574","65,907","30,023","32,305","36,392","46,744","35,903","47,330","25,092","22,238","10,301","10,195","10,868","7,127","3,211",32,32,33,17,105,10,0,0.55,"10,301","10,195","10,868","7,127"
0.241777778,0.843555556,0.652444444,0.012444444,0.139555556,0.039111111,0.146666667,3.290666667,2.758222222,0.216888889,0.282666667,0.032888889,0.497777778,0.470222222,0.016888889,0.010666667,1.61,1.6,1.7,1.12,120.7,14.2,68.8,38.37,"1,286","2,793","4,071","5,958",964,"6,371","16,081","5,392","18,874","11,796","1,112","2,010","1,158","14,594","116,358","13,691","66,327","30,270","32,446","36,987","46,800","36,158","47,650","25,314","22,336","10,353","10,247","10,922","7,168","3,225",32,32,33,17,105,10,0,0.56,"10,353","10,247","10,922","7,168"
0.228235294,0.845490196,0.636078431,0.011764706,0.152941176,0.044705882,0.138039216,3.451764706,2.869803922,0.210196078,0.312941176,0.058823529,0.538039216,0.509803922,0.017254902,0.010980392,1.58,1.55,1.66,1.1,123.12,14.47,70.69,39.13,"1,483","3,222","4,560","7,071","1,089","7,534","19,111","6,253","22,333","14,720","1,447","2,463","1,287","17,136","134,075","15,757","76,977","34,860","37,920","42,618","164,092","41,654","54,883","29,020","25,863","11,953","11,779","12,582","8,373","3,930",34,32,34,24,241,10,0,0.55,"11,953","11,779","12,582","8,373"
0.223786066,0.805770584,0.60661506,0.010555947,0.147079521,0.041520056,0.140042224,3.470091485,2.87825475,0.223786066,0.308233638,0.05981703,0.503166784,0.476425053,0.016889514,0.009852217,1.6,1.57,1.69,1.11,122.69,14.4,70.33,39.14,"1,645","3,432","4,989","7,843","1,216","8,333","21,286","7,035","24,718","16,259","1,553","2,757","1,461","18,947","149,197","17,515","85,524","38,829","42,141","47,594","822,116","46,330","61,147","32,407","28,740","13,403","13,202","14,157","9,290","4,441",51,51,74,25,263,10,0,0.56,"13,403","13,202","14,157","9,290"
0.22394822,0.811003236,0.592880259,0.010355987,0.160517799,0.047249191,0.14368932,3.84789644,3.201294498,0.236893204,0.333333333,0.076375405,0.646601942,0.619417476,0.017475728,0.009708738,1.57,1.54,1.66,1.09,125.64,14.4,72.09,40.69,"1,808","3,804","4,974","8,777","1,324","9,368","23,946","7,715","27,750","16,068","1,914","3,246","1,545","21,045","166,348","19,063","95,453","43,271","47,133","53,868","162,491","51,268","67,594","35,685","31,909","14,780","14,564","15,609","10,323","4,705",51,51,74,25,263,10,0,0.56,"14,780","14,564","15,609","10,323"
0.19361483,0.7507724,0.564881565,0.008753862,0.134912461,0.042224511,0.140061792,3.657569516,3.086508754,0.195159629,0.301750772,0.07415036,0.538619979,0.514418126,0.014933059,0.009268795,1.56,1.54,1.64,1.1,127.67,14.71,74.16,40.27,"2,038","4,131","5,439","10,051","1,460","10,679","27,543","8,740","31,674","18,544","2,118","3,624","1,638","24,294","186,398","21,480","108,275","48,727","53,562","58,798","182,896","58,231","76,648","40,066","36,582","16,741","16,514","17,643","11,798","5,149",51,51,74,25,263,10,0,0.54,"16,741","16,514","17,643","11,798"
0.202800579,0.729116369,0.550458716,0.009174312,0.13085466,0.038628682,0.145340415,3.690487687,3.122163206,0.196523419,0.302269435,0.069531627,0.515692902,0.492998551,0.013520039,0.009174312,1.55,1.53,1.63,1.1,128.8,14.82,75.31,40.13,"2,170","4,275","5,652","10,715","1,524","11,361","29,437","9,550","33,712","19,804","2,176","3,831","1,755","25,950","196,293","22,584","114,772","52,192","56,104","61,156","185,728","61,322","80,800","42,691","38,109","17,699","17,460","18,643","12,521","5,255",51,51,74,23,263,10,0,0.53,"17,699","17,460","18,643","12,521"
0.215934812,0.678587596,0.492530557,0.010411951,0.137166139,0.03847895,0.162516976,3.701222273,3.150294251,0.184246265,0.301041195,0.065640561,0.50701675,0.487098234,0.011317338,0.008601177,1.55,1.53,1.63,1.09,134.02,15.28,80.12,39.68,"2,551","4,587","5,904","11,836","1,580","12,525","32,602","11,922","37,189","21,243","2,332","4,161","1,782","28,914","211,755","24,137","126,590","57,475","62,265","62,699","190,555","67,041","88,601","46,755","41,846","19,484","19,243","20,545","13,748","5,533",51,51,74,23,263,10,0,0.5,"19,484","19,243","20,545","13,748"
