"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"builder/HashCodeBuilder","12","10","10","12","2","10","8","8","10","2","2","2","2","2","1","82","447","210","3","3","2","94","94","37"
"NullArgumentException","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","274","274","274","1","1","1","64","64","64"
"text/StrSubstitutor","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","183","447","183","3","3","1","20","20","10"
"concurrent/ConcurrentException","3","3","3","3","1","1","1","1","1","1","2","2","2","2","1","309","447","309","3","3","1","72","72","69"
"StringUtils","18","13","13","18","2","15","11","11","15","2","3","2","2","3","2","10","447","64","4","4","2","775","775","389"
"text/StrLookup","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","124","447","124","3","3","1","27","27","22"
"RandomStringUtils","2","2","2","2","1","0","0","0","0","0","2","2","2","2","1","384","447","384","2","2","1","4","4","2"
"SerializationException","3","3","3","3","1","1","1","1","1","1","2","2","2","2","1","165","447","165","2","2","1","8","8","4"
"enums/ValuedEnum","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","108","108","108","1","1","1","236","236","236"
"mutable/MutableByte","10","8","8","10","3","6","6","6","6","1","4","2","2","4","3","124","447","380","3","3","1","246","246","202"
"exception/ExceptionUtils","12","11","11","12","2","8","8","8","8","1","4","3","3","4","2","125","447","447","4","4","1","187","187","54"
"NumberRange","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","121","121","121","1","1","1","220","220","220"
"mutable/MutableBoolean","11","6","6","11","4","6","4","4","6","2","5","2","2","5","4","124","447","379","3","3","1","171","171","143"
"math/LongRange","5","5","5","5","1","3","3","3","3","1","2","2","2","2","1","124","406","124","3","3","1","463","463","430"
"math/NumberRange","8","8","8","8","1","6","6","6","6","1","2","2","2","2","1","124","406","124","3","3","1","288","288","253"
"ArrayUtils","14","10","10","14","3","9","6","6","9","3","5","4","4","5","2","132","447","297","4","4","2","890","890","822"
"text/translate/EscapeUtils","12","7","7","12","4","9","5","5","9","4","3","2","2","3","2","231","409","236","3","3","1","376","376","141"
"exception/DefaultExceptionContext","8","5","5","8","3","4","3","3","4","2","4","3","3","4","2","287","447","359","3","3","1","243","243","136"
